Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,17,28.1,5.08,13,12,.520,5.14,25,25,25,0,0,0,6,217.0,205,127,124,48,98,8,234,12,0,7,952,92,5.38,1.396,8.5,2.0,4.1,9.7,2.39,174
ATL,22,28.1,4.44,14,11,.560,4.42,25,25,25,0,3,0,5,214.0,196,111,105,27,97,2,206,13,0,7,924,112,4.40,1.369,8.2,1.1,4.1,8.7,2.12,171
BAL,21,29.4,5.21,12,12,.500,4.77,24,24,24,0,1,0,7,213.0,201,125,113,31,72,0,200,16,1,13,919,97,4.40,1.282,8.5,1.3,3.0,8.5,2.78,155
BOS,22,29.4,6.36,7,18,.280,6.22,25,25,25,0,1,0,4,217.0,247,159,150,42,106,0,213,14,2,9,997,76,5.36,1.627,10.2,1.7,4.4,8.8,2.01,187
CHC,21,30.1,4.17,16,8,.667,4.18,24,24,23,1,2,1,8,209.0,171,100,97,25,72,1,200,13,4,8,867,112,4.01,1.163,7.4,1.1,3.1,8.6,2.78,140
CHW,23,28.2,4.32,14,11,.560,4.11,25,25,25,0,2,0,7,219.0,204,108,100,28,80,1,215,12,0,10,932,110,4.10,1.297,8.4,1.2,3.3,8.8,2.69,167
CIN,20,29.0,4.59,10,12,.455,4.11,22,22,20,2,2,2,2,186.0,144,101,85,25,78,1,249,14,1,11,787,117,3.70,1.194,7.0,1.2,3.8,12.0,3.19,128
CLE,15,28.1,2.75,15,9,.625,2.61,24,24,23,1,4,0,9,214.0,156,66,62,24,57,1,250,12,0,12,846,177,3.23,0.995,6.6,1.0,2.4,10.5,4.39,138
COL,17,27.4,4.71,13,11,.542,4.12,24,24,24,0,1,0,8,214.1,208,113,98,24,57,2,173,11,0,9,895,130,3.94,1.236,8.7,1.0,2.4,7.3,3.04,139
DET,20,26.9,5.77,9,13,.409,5.86,22,22,22,0,0,0,5,192.0,198,127,125,38,70,0,162,12,0,6,845,81,5.31,1.396,9.3,1.8,3.3,7.6,2.31,142
HOU,21,26.9,4.12,14,10,.583,3.43,24,24,24,0,0,0,5,225.1,185,99,86,23,104,6,214,13,1,10,950,134,4.13,1.283,7.4,0.9,4.2,8.5,2.06,175
KCR,23,27.4,4.32,10,15,.400,3.96,25,25,25,0,1,0,8,209.0,190,108,92,37,88,3,211,15,3,11,899,119,4.90,1.330,8.2,1.6,3.8,9.1,2.40,164
LAA,21,27.7,5.56,8,17,.320,5.06,25,25,24,1,1,0,3,222.1,213,139,125,32,94,4,215,10,1,14,966,90,4.48,1.381,8.6,1.3,3.8,8.7,2.29,160
LAD,19,27.7,3.23,18,8,.692,2.78,26,26,26,0,2,0,8,236.0,181,84,73,29,74,2,218,9,0,8,947,159,3.95,1.081,6.9,1.1,2.8,8.3,2.95,155
MIA,30,28.1,4.78,9,9,.500,4.61,18,18,18,0,2,0,6,156.1,148,86,80,33,70,4,145,11,0,3,684,103,5.59,1.394,8.5,1.9,4.0,8.3,2.07,129
