"","species","bill_length_mm","bill_depth_mm","body_mass_g","flipper_length_mm"
"1","Adelie",39.1,18.7,3750,181
"2","Adelie",39.5,17.4,3800,186
"3","Adelie",40.3,18,3250,195
"4","Adelie",NA,NA,NA,NA
"5","Adelie",36.7,19.3,3450,193
"6","Adelie",39.3,20.6,3650,190
"7","Adelie",38.9,17.8,3625,181
"8","Adelie",39.2,19.6,4675,195
"9","Adelie",34.1,18.1,3475,193
"10","Adelie",42,20.2,4250,190
"11","Adelie",37.8,17.1,3300,186
"12","Adelie",37.8,17.3,3700,180
"13","Adelie",41.1,17.6,3200,182
"14","Adelie",38.6,21.2,3800,191
"15","Adelie",34.6,21.1,4400,198
"16","Adelie",36.6,17.8,3700,185
"17","Adelie",38.7,19,3450,195
"18","Adelie",42.5,20.7,4500,197
"19","Adelie",34.4,18.4,3325,184
"20","Adelie",46,21.5,4200,194
"21","Adelie",37.8,18.3,3400,174
"22","Adelie",37.7,18.7,3600,180
"23","Adelie",35.9,19.2,3800,189
"24","Adelie",38.2,18.1,3950,185
"25","Adelie",38.8,17.2,3800,180
"26","Adelie",35.3,18.9,3800,187
"27","Adelie",40.6,18.6,3550,183
"28","Adelie",40.5,17.9,3200,187
"29","Adelie",37.9,18.6,3150,172
"30","Adelie",40.5,18.9,3950,180
"31","Adelie",39.5,16.7,3250,178
"32","Adelie",37.2,18.1,3900,178
"33","Adelie",39.5,17.8,3300,188
"34","Adelie",40.9,18.9,3900,184
"35","Adelie",36.4,17,3325,195
"36","Adelie",39.2,21.1,4150,196
"37","Adelie",38.8,20,3950,190
"38","Adelie",42.2,18.5,3550,180
"39","Adelie",37.6,19.3,3300,181
"40","Adelie",39.8,19.1,4650,184
"41","Adelie",36.5,18,3150,182
"42","Adelie",40.8,18.4,3900,195
"43","Adelie",36,18.5,3100,186
"44","Adelie",44.1,19.7,4400,196
"45","Adelie",37,16.9,3000,185
"46","Adelie",39.6,18.8,4600,190
"47","Adelie",41.1,19,3425,182
"48","Adelie",37.5,18.9,2975,179
"49","Adelie",36,17.9,3450,190
"50","Adelie",42.3,21.2,4150,191
"51","Adelie",39.6,17.7,3500,186
"52","Adelie",40.1,18.9,4300,188
"53","Adelie",35,17.9,3450,190
"54","Adelie",42,19.5,4050,200
"55","Adelie",34.5,18.1,2900,187
"56","Adelie",41.4,18.6,3700,191
"57","Adelie",39,17.5,3550,186
"58","Adelie",40.6,18.8,3800,193
"59","Adelie",36.5,16.6,2850,181
"60","Adelie",37.6,19.1,3750,194
"61","Adelie",35.7,16.9,3150,185
"62","Adelie",41.3,21.1,4400,195
"63","Adelie",37.6,17,3600,185
"64","Adelie",41.1,18.2,4050,192
"65","Adelie",36.4,17.1,2850,184
"66","Adelie",41.6,18,3950,192
"67","Adelie",35.5,16.2,3350,195
"68","Adelie",41.1,19.1,4100,188
"69","Adelie",35.9,16.6,3050,190
"70","Adelie",41.8,19.4,4450,198
"71","Adelie",33.5,19,3600,190
"72","Adelie",39.7,18.4,3900,190
"73","Adelie",39.6,17.2,3550,196
"74","Adelie",45.8,18.9,4150,197
"75","Adelie",35.5,17.5,3700,190
"76","Adelie",42.8,18.5,4250,195
"77","Adelie",40.9,16.8,3700,191
"78","Adelie",37.2,19.4,3900,184
"79","Adelie",36.2,16.1,3550,187
"80","Adelie",42.1,19.1,4000,195
"81","Adelie",34.6,17.2,3200,189
